,c,h,l,o,s,t,v
796,37.42,37.81,37.08,37.29,ok,2018-06-08 13:30:00,2782900
797,37.33,37.6,37.12,37.46,ok,2018-06-11 13:30:00,1808800
798,36.99,37.98,36.83,37.51,ok,2018-06-12 13:30:00,3483200
799,37.22,37.54,36.5,36.56,ok,2018-06-13 13:30:00,2271700
800,37.4,37.87,36.78,37.29,ok,2018-06-14 13:30:00,2929300
801,37.94,38.19,37.46,37.48,ok,2018-06-15 13:30:00,3377800
802,36.47,37.61,36.4,37.47,ok,2018-06-18 13:30:00,2412400
803,36.29,36.92,35.71,36.3,ok,2018-06-19 13:30:00,2374400
804,36.65,36.78,35.42,36.36,ok,2018-06-20 13:30:00,2180000
805,36.73,37.29,36.41,36.53,ok,2018-06-21 13:30:00,1427800
806,35.98,37.21,35.83,36.79,ok,2018-06-22 13:30:00,2767700
807,35.76,36.31,35.48,35.73,ok,2018-06-25 13:30:00,2822300
808,36.21,36.52,35.72,35.95,ok,2018-06-26 13:30:00,1878800
809,36.2,37.0,36.19,36.21,ok,2018-06-27 13:30:00,1860100
810,36.78,37.07,35.74,36.17,ok,2018-06-28 13:30:00,2128000
811,35.25,38.26,35.21,38.14,ok,2018-06-29 13:30:00,2642500
812,34.97,35.33,34.42,35.25,ok,2018-07-02 13:30:00,3037800
813,35.22,35.93,35.12,35.12,ok,2018-07-03 13:30:00,736900
814,34.83,35.41,34.66,35.41,ok,2018-07-05 13:30:00,1620700
815,34.05,34.86,33.9,34.82,ok,2018-07-06 13:30:00,2189000
816,34.41,34.67,34.03,34.26,ok,2018-07-09 13:30:00,2656200
817,34.7,35.02,34.2,34.41,ok,2018-07-10 13:30:00,3908600
818,34.5,34.98,33.92,34.91,ok,2018-07-11 13:30:00,1617400
819,34.53,34.71,33.95,34.46,ok,2018-07-12 13:30:00,1667400
820,34.54,35.38,34.42,34.57,ok,2018-07-13 13:30:00,2543500
821,33.99,34.73,33.57,34.32,ok,2018-07-16 13:30:00,2815400
822,33.94,34.42,33.58,33.95,ok,2018-07-17 13:30:00,1986200
823,34.64,34.79,33.99,34.09,ok,2018-07-18 13:30:00,2321100
824,35.5,35.97,34.34,34.52,ok,2018-07-19 13:30:00,2827200
825,35.17,35.44,34.93,35.4,ok,2018-07-20 13:30:00,1512900
826,34.99,35.48,34.78,35.13,ok,2018-07-23 13:30:00,1372000
827,33.87,35.06,33.57,35.02,ok,2018-07-24 13:30:00,2343100
828,33.75,33.87,33.15,33.6,ok,2018-07-25 13:30:00,1814900
829,34.1,35.07,33.61,33.91,ok,2018-07-26 13:30:00,1841300
830,32.97,34.31,32.91,34.04,ok,2018-07-27 13:30:00,1642800
831,33.47,33.57,32.95,33.06,ok,2018-07-30 13:30:00,1503500
832,34.14,34.47,33.29,33.55,ok,2018-07-31 13:30:00,2076000
833,33.5,34.02,33.09,34.02,ok,2018-08-01 13:30:00,1651600
834,33.57,33.75,32.99,33.03,ok,2018-08-02 13:30:00,1709200
835,33.53,34.22,33.05,33.73,ok,2018-08-03 13:30:00,1816700
836,34.21,34.22,33.39,33.52,ok,2018-08-06 13:30:00,1515900
837,34.23,34.75,34.08,34.38,ok,2018-08-07 13:30:00,1237100
838,33.69,34.19,33.56,34.19,ok,2018-08-08 13:30:00,1875000
839,34.65,34.71,33.68,33.82,ok,2018-08-09 13:30:00,2585500
840,34.55,35.13,34.14,34.37,ok,2018-08-10 13:30:00,1323300
841,35.14,35.41,34.41,34.61,ok,2018-08-13 13:30:00,1605900
842,36.39,36.45,34.49,35.17,ok,2018-08-14 13:30:00,2380800
843,36.19,36.87,35.41,36.31,ok,2018-08-15 13:30:00,2850100
844,36.39,37.0,35.69,36.13,ok,2018-08-16 13:30:00,2276900
845,37.16,37.23,36.32,36.57,ok,2018-08-17 13:30:00,2141200
846,37.86,38.39,37.18,37.39,ok,2018-08-20 13:30:00,2309500
847,38.05,38.21,37.33,38.2,ok,2018-08-21 13:30:00,1882500
848,37.63,38.53,37.53,38.12,ok,2018-08-22 13:30:00,2526600
849,38.56,38.62,37.58,37.81,ok,2018-08-23 13:30:00,3416200
850,36.02,37.12,35.51,36.59,ok,2018-08-24 13:30:00,6348400
851,36.32,36.52,35.63,36.16,ok,2018-08-27 13:30:00,3907200
852,36.39,36.8,36.09,36.69,ok,2018-08-28 13:30:00,5014600
853,35.6,36.35,32.75,32.82,ok,2018-08-29 13:30:00,23118900
854,36.19,36.38,35.27,35.87,ok,2018-08-30 13:30:00,5483500
855,37.44,37.92,36.08,36.3,ok,2018-08-31 13:30:00,8250400
856,38.52,38.59,37.34,37.46,ok,2018-09-04 13:30:00,3989500
857,39.07,39.24,38.26,38.44,ok,2018-09-05 13:30:00,3186500
858,38.34,39.71,38.27,39.24,ok,2018-09-06 13:30:00,2505300
859,38.08,38.85,37.68,38.0,ok,2018-09-07 13:30:00,1870200
860,39.32,39.4,38.2,38.22,ok,2018-09-10 13:30:00,2031400
861,39.43,39.74,38.75,39.23,ok,2018-09-11 13:30:00,1769600
862,38.2,39.39,37.95,39.25,ok,2018-09-12 13:30:00,2122900
863,37.18,38.1,36.96,37.94,ok,2018-09-13 13:30:00,2080500
864,36.92,37.53,36.46,37.2,ok,2018-09-14 13:30:00,2267300
865,37.02,37.23,36.29,36.92,ok,2018-09-17 13:30:00,2637200
866,37.12,37.6,36.58,36.94,ok,2018-09-18 13:30:00,1562500
867,37.37,37.66,37.03,37.04,ok,2018-09-19 13:30:00,1209100
868,37.14,37.45,36.45,37.27,ok,2018-09-20 13:30:00,2591500
869,37.89,38.16,37.14,37.32,ok,2018-09-21 13:30:00,2941500
870,36.68,37.98,36.65,37.97,ok,2018-09-24 13:30:00,2909500
871,36.76,37.05,36.35,36.9,ok,2018-09-25 13:30:00,2746400
872,36.15,36.63,35.83,36.25,ok,2018-09-26 13:30:00,3235500
873,35.73,36.42,35.6,36.23,ok,2018-09-27 13:30:00,2597400
874,35.48,35.94,35.24,35.7,ok,2018-09-28 13:30:00,2878400
875,35.24,35.71,34.97,35.53,ok,2018-10-01 13:30:00,1869800
876,34.13,35.4,34.13,35.16,ok,2018-10-02 13:30:00,2352000
877,34.05,34.61,33.89,34.32,ok,2018-10-03 13:30:00,2360400
878,33.45,34.38,33.26,34.14,ok,2018-10-04 13:30:00,2884000
879,33.2,33.84,32.65,33.56,ok,2018-10-05 13:30:00,2727500
880,33.42,33.54,32.86,33.2,ok,2018-10-08 13:30:00,1952200
881,33.47,34.23,33.42,33.5,ok,2018-10-09 13:30:00,1574000
882,33.41,34.29,33.35,33.58,ok,2018-10-10 13:30:00,2660300
883,33.31,34.57,33.24,33.47,ok,2018-10-11 13:30:00,2828200
884,33.45,34.29,33.19,33.8,ok,2018-10-12 13:30:00,2126400
885,33.86,34.22,33.12,33.41,ok,2018-10-15 13:30:00,2362000
886,34.25,34.29,33.66,33.9,ok,2018-10-16 13:30:00,1885300
887,33.84,34.23,33.29,34.23,ok,2018-10-17 13:30:00,1719800
888,34.48,34.59,33.59,33.59,ok,2018-10-18 13:30:00,2798100
889,33.78,34.76,33.74,34.52,ok,2018-10-19 13:30:00,1972200
890,33.55,34.13,33.35,33.97,ok,2018-10-22 13:30:00,1765600
891,33.61,33.85,32.74,33.16,ok,2018-10-23 13:30:00,1738000
892,33.23,34.54,33.11,33.6,ok,2018-10-24 13:30:00,2444100
893,32.85,33.57,32.32,33.34,ok,2018-10-25 13:30:00,4737500
894,33.05,33.57,32.3,32.55,ok,2018-10-26 13:30:00,2398800
895,34.62,35.37,33.43,33.46,ok,2018-10-29 13:30:00,3412200
896,36.98,37.03,34.76,34.81,ok,2018-10-30 13:30:00,3585800
897,35.37,37.0,34.73,37.0,ok,2018-10-31 13:30:00,3858500
898,35.85,36.28,34.67,35.39,ok,2018-11-01 13:30:00,2642100
899,36.5,36.95,35.88,36.17,ok,2018-11-02 13:30:00,1895900
900,37.38,37.56,36.39,36.39,ok,2018-11-05 14:30:00,2859100
901,37.51,37.91,37.19,37.38,ok,2018-11-06 14:30:00,3229900
902,36.8,37.5,35.88,37.5,ok,2018-11-07 14:30:00,3058800
903,38.1,38.59,36.74,36.74,ok,2018-11-08 14:30:00,2279600
904,37.17,38.12,36.85,37.78,ok,2018-11-09 14:30:00,2157100
905,37.45,38.06,36.95,37.15,ok,2018-11-12 14:30:00,2856100
906,38.71,39.08,37.24,37.4,ok,2018-11-13 14:30:00,3765500
907,37.56,39.75,37.23,39.14,ok,2018-11-14 14:30:00,3169600
908,38.28,38.33,36.98,37.3,ok,2018-11-15 14:30:00,2900800
909,36.83,37.86,36.27,37.76,ok,2018-11-16 14:30:00,3200500
910,35.42,37.02,35.3,36.87,ok,2018-11-19 14:30:00,3164200
911,34.38,35.61,33.86,34.35,ok,2018-11-20 14:30:00,2741600
912,35.1,35.58,34.36,34.76,ok,2018-11-21 14:30:00,2093300
913,34.78,35.44,34.62,34.9,ok,2018-11-23 14:30:00,817800
914,35.99,36.25,35.04,35.04,ok,2018-11-26 14:30:00,4441100
915,36.33,37.05,35.26,35.67,ok,2018-11-27 14:30:00,6951000
916,37.26,37.75,34.9,36.08,ok,2018-11-28 14:30:00,8799700
917,35.52,36.26,34.08,36.26,ok,2018-11-29 14:30:00,6050500
918,35.98,36.07,34.97,35.45,ok,2018-11-30 14:30:00,3605900
919,37.3,37.52,35.67,36.19,ok,2018-12-03 14:30:00,4934000
920,36.34,37.57,35.7,37.46,ok,2018-12-04 14:30:00,3284900
921,35.71,35.99,35.0,35.99,ok,2018-12-06 14:30:00,2903000
922,36.34,36.97,35.55,35.62,ok,2018-12-07 14:30:00,4728500
923,37.0,37.17,35.99,36.25,ok,2018-12-10 14:30:00,3145900
924,36.82,37.59,36.26,37.46,ok,2018-12-11 14:30:00,2864200
925,35.47,37.17,35.19,37.01,ok,2018-12-12 14:30:00,2869500
926,34.16,35.74,33.95,35.38,ok,2018-12-13 14:30:00,2429300
927,34.6,34.91,33.65,33.87,ok,2018-12-14 14:30:00,1795200
928,33.45,34.67,33.17,34.3,ok,2018-12-17 14:30:00,1805600
929,33.35,33.95,33.06,33.67,ok,2018-12-18 14:30:00,1772000
930,32.47,33.9,32.27,33.46,ok,2018-12-19 14:30:00,2049000
931,31.4,32.4,30.91,32.35,ok,2018-12-20 14:30:00,2393400
932,30.33,32.29,30.18,31.55,ok,2018-12-21 14:30:00,3594300
933,29.77,30.37,29.69,30.26,ok,2018-12-24 14:30:00,896100
934,31.59,31.63,29.98,30.04,ok,2018-12-26 14:30:00,1676000
935,30.89,31.39,29.98,31.14,ok,2018-12-27 14:30:00,2168500
936,31.16,31.8,30.77,30.97,ok,2018-12-28 14:30:00,1612500
937,31.2,31.51,30.95,31.07,ok,2018-12-31 14:30:00,1259500
938,31.77,32.13,30.59,30.84,ok,2019-01-02 14:30:00,1907500
939,32.4,33.14,31.23,31.67,ok,2019-01-03 14:30:00,2664700
940,33.18,33.47,32.19,32.19,ok,2019-01-04 14:30:00,2594400
941,32.97,33.93,32.73,33.17,ok,2019-01-07 14:30:00,2250600
942,33.08,33.57,32.0,33.31,ok,2019-01-08 14:30:00,2270100
943,34.15,34.57,32.93,33.15,ok,2019-01-09 14:30:00,2506800
944,33.3,33.51,32.49,33.06,ok,2019-01-10 14:30:00,2106400
945,33.36,33.78,32.79,33.15,ok,2019-01-11 14:30:00,1391400
946,33.75,34.49,33.0,33.32,ok,2019-01-14 14:30:00,1902300
947,33.58,34.22,33.51,33.87,ok,2019-01-15 14:30:00,1435600
948,32.99,33.73,32.64,33.44,ok,2019-01-16 14:30:00,1196200
949,33.33,33.5,32.4,32.62,ok,2019-01-17 14:30:00,1341800
950,34.25,34.45,33.46,33.89,ok,2019-01-18 14:30:00,1450000
951,33.89,34.34,33.59,34.03,ok,2019-01-22 14:30:00,1310900
952,33.71,34.3,33.35,34.16,ok,2019-01-23 14:30:00,1708700
953,34.32,34.51,33.42,33.84,ok,2019-01-24 14:30:00,1099500
954,34.62,35.0,34.34,34.68,ok,2019-01-25 14:30:00,1228000
955,34.84,34.88,34.17,34.34,ok,2019-01-28 14:30:00,1386700
956,34.83,35.26,34.56,34.98,ok,2019-01-29 14:30:00,1112200
957,34.6,35.17,34.52,34.91,ok,2019-01-30 14:30:00,914300
958,35.31,35.48,34.53,34.54,ok,2019-01-31 14:30:00,1682100
959,35.25,35.65,34.34,35.37,ok,2019-02-01 14:30:00,1511100
960,35.53,35.65,34.88,35.06,ok,2019-02-04 14:30:00,1295000
961,36.86,36.92,35.33,35.63,ok,2019-02-05 14:30:00,1818200
962,36.48,37.0,36.12,36.85,ok,2019-02-06 14:30:00,1304200
963,35.81,36.27,34.93,36.27,ok,2019-02-07 14:30:00,1824700
964,35.31,36.09,35.14,35.71,ok,2019-02-08 14:30:00,1582100
965,35.68,35.92,35.02,35.39,ok,2019-02-11 14:30:00,1730300
966,36.5,37.03,35.51,35.84,ok,2019-02-12 14:30:00,3535200
967,36.93,37.06,36.33,36.66,ok,2019-02-13 14:30:00,2394100
968,36.37,37.09,35.6,36.41,ok,2019-02-14 14:30:00,2329800
969,37.39,37.65,36.47,36.63,ok,2019-02-15 14:30:00,1337200
970,37.88,38.23,37.25,37.34,ok,2019-02-19 14:30:00,1847700
971,38.17,38.55,37.64,38.01,ok,2019-02-20 14:30:00,1617500
972,37.87,38.28,37.71,37.86,ok,2019-02-21 14:30:00,1200200
973,37.97,38.29,37.68,38.07,ok,2019-02-22 14:30:00,1699700
974,37.76,38.33,37.59,38.22,ok,2019-02-25 14:30:00,1291200
975,38.22,38.46,37.72,37.9,ok,2019-02-26 14:30:00,1637800
976,39.38,39.64,38.47,38.52,ok,2019-02-27 14:30:00,3066800
977,39.06,39.72,38.83,39.28,ok,2019-02-28 14:30:00,1790000
978,39.0,40.87,38.78,39.95,ok,2019-03-01 14:30:00,2771800
979,38.09,39.3,37.74,39.19,ok,2019-03-04 14:30:00,1739800
980,38.01,38.47,37.84,38.26,ok,2019-03-05 14:30:00,1154300
981,38.18,38.91,38.09,38.46,ok,2019-03-06 14:30:00,1437000
982,37.81,38.42,37.54,37.98,ok,2019-03-07 14:30:00,1784600
983,37.85,37.97,37.17,37.52,ok,2019-03-08 14:30:00,2411100
984,38.89,39.02,37.76,37.77,ok,2019-03-11 13:30:00,4974800
985,34.61,36.98,34.1,35.64,ok,2019-03-12 13:30:00,15184100
986,35.81,35.92,34.49,34.53,ok,2019-03-13 13:30:00,5624600
987,34.98,35.96,34.88,35.71,ok,2019-03-14 13:30:00,3769700
988,34.05,35.2,33.9,35.05,ok,2019-03-15 13:30:00,3172500
989,34.61,34.7,33.71,34.01,ok,2019-03-18 13:30:00,2290600
990,35.28,35.58,34.68,34.68,ok,2019-03-19 13:30:00,2561300
991,34.39,35.26,34.21,35.01,ok,2019-03-20 13:30:00,1821700
992,35.25,35.42,34.26,34.26,ok,2019-03-21 13:30:00,2732900
993,34.35,35.31,34.34,35.09,ok,2019-03-22 13:30:00,1715900
994,34.54,34.98,34.13,34.26,ok,2019-03-25 13:30:00,2598300
995,35.69,35.82,34.66,35.07,ok,2019-03-26 13:30:00,1943800
996,36.46,36.58,35.71,35.74,ok,2019-03-27 13:30:00,1346900
997,36.38,37.43,36.22,36.7,ok,2019-03-28 13:30:00,4853100
998,36.81,36.91,36.23,36.45,ok,2019-03-29 13:30:00,3199400
999,37.88,37.9,36.78,37.0,ok,2019-04-01 13:30:00,1980800
1000,38.36,38.68,37.43,37.88,ok,2019-04-02 13:30:00,1910300
1001,38.27,38.73,38.13,38.73,ok,2019-04-03 13:30:00,1449000
1002,39.65,39.69,37.87,38.24,ok,2019-04-04 13:30:00,2167300
1003,40.18,40.51,39.74,39.78,ok,2019-04-05 13:30:00,3123200
1004,40.64,41.0,39.9,40.06,ok,2019-04-08 13:30:00,1626500
1005,40.57,40.81,40.23,40.35,ok,2019-04-09 13:30:00,1894000
1006,41.18,41.19,40.37,40.75,ok,2019-04-10 13:30:00,1737300
1007,40.69,41.18,40.57,41.18,ok,2019-04-11 13:30:00,2434000
1008,40.48,41.21,40.29,40.92,ok,2019-04-12 13:30:00,2068600
1009,39.64,40.72,39.58,40.48,ok,2019-04-15 13:30:00,3605000
1010,40.22,40.35,39.46,39.67,ok,2019-04-16 13:30:00,1847000
1011,39.84,40.77,39.56,40.4,ok,2019-04-17 13:30:00,1728100
1012,38.85,40.27,38.84,39.85,ok,2019-04-18 13:30:00,3589900
1013,37.98,39.07,37.89,38.75,ok,2019-04-22 13:30:00,2585700
1014,38.58,38.9,37.93,38.21,ok,2019-04-23 13:30:00,1976000
1015,38.99,39.31,38.63,38.79,ok,2019-04-24 13:30:00,1399400
1016,38.24,38.93,38.0,38.93,ok,2019-04-25 13:30:00,1376300
1017,38.31,38.55,37.69,38.13,ok,2019-04-26 13:30:00,2102400
1018,37.73,38.56,37.71,38.18,ok,2019-04-29 13:30:00,1962900
1019,37.0,37.75,36.97,37.71,ok,2019-04-30 13:30:00,2790800
1020,35.88,37.29,35.85,37.07,ok,2019-05-01 13:30:00,1909600
1021,36.02,36.33,35.4,36.25,ok,2019-05-02 13:30:00,2995000
1022,36.47,36.53,35.92,36.1,ok,2019-05-03 13:30:00,1860500
1023,36.05,36.48,35.78,36.04,ok,2019-05-06 13:30:00,1806500
1024,35.84,36.28,35.75,35.75,ok,2019-05-07 13:30:00,2466300
1025,35.87,36.26,35.26,35.68,ok,2019-05-08 13:30:00,1101300
1026,36.16,36.38,35.59,35.63,ok,2019-05-09 13:30:00,1768600
1027,36.55,36.75,35.59,36.02,ok,2019-05-10 13:30:00,1956800
1028,35.57,36.12,35.13,35.78,ok,2019-05-13 13:30:00,2189100
1029,35.94,36.3,35.17,35.74,ok,2019-05-14 13:30:00,1586700
1030,35.97,36.04,35.2,35.78,ok,2019-05-15 13:30:00,1957700
1031,36.05,36.43,35.93,36.22,ok,2019-05-16 13:30:00,1222000
1032,36.46,37.09,35.78,35.78,ok,2019-05-17 13:30:00,1816800
1033,36.59,36.64,35.88,36.0,ok,2019-05-20 13:30:00,2309800
1034,37.61,38.02,36.4,36.78,ok,2019-05-21 13:30:00,2082100
1035,36.97,37.46,36.48,37.24,ok,2019-05-22 13:30:00,2670200
1036,36.76,37.14,36.33,36.87,ok,2019-05-23 13:30:00,1733800
1037,36.65,36.8,36.05,36.59,ok,2019-05-24 13:30:00,1914600
1038,35.78,37.19,35.68,36.7,ok,2019-05-28 13:30:00,5491100
1039,33.67,37.0,33.11,36.92,ok,2019-05-29 13:30:00,13079900
1040,34.25,34.48,33.51,33.64,ok,2019-05-30 13:30:00,3615500
1041,34.51,34.55,33.34,33.68,ok,2019-05-31 13:30:00,3563500
1042,35.69,36.07,34.35,34.64,ok,2019-06-03 13:30:00,3563500
1043,36.73,36.88,36.02,36.14,ok,2019-06-04 13:30:00,1987800
1044,36.16,36.9,35.58,36.81,ok,2019-06-05 13:30:00,2388300
1045,35.74,36.21,35.39,36.08,ok,2019-06-06 13:30:00,2596600
1046,35.18,35.93,34.92,35.92,ok,2019-06-07 13:30:00,1925000
1047,35.44,35.81,34.92,35.42,ok,2019-06-10 13:30:00,2066800
1048,34.81,35.89,34.74,35.58,ok,2019-06-11 13:30:00,3063500
1049,34.29,34.9,33.89,34.7,ok,2019-06-12 13:30:00,3047000
1050,33.37,34.38,33.35,34.24,ok,2019-06-13 13:30:00,3392500
1051,33.92,34.05,33.17,33.45,ok,2019-06-14 13:30:00,2873400
1052,34.21,34.52,33.79,33.9,ok,2019-06-17 13:30:00,2254500
1053,33.86,34.74,33.63,34.3,ok,2019-06-18 13:30:00,1885000
1054,33.85,33.89,33.2,33.87,ok,2019-06-19 13:30:00,1700200
1055,33.95,34.24,33.14,34.16,ok,2019-06-20 13:30:00,2536600
1056,34.17,34.53,33.61,33.74,ok,2019-06-21 13:30:00,3531700
1057,33.93,34.23,33.58,34.15,ok,2019-06-24 13:30:00,1902800
1058,34.04,34.27,33.68,34.06,ok,2019-06-25 13:30:00,2283100
1059,33.74,34.32,33.74,34.1,ok,2019-06-26 13:30:00,2804100
1060,34.26,34.42,33.45,34.0,ok,2019-06-27 13:30:00,1732600
1061,34.63,34.88,34.2,34.36,ok,2019-06-28 13:30:00,2662100
1062,34.99,35.44,34.86,34.92,ok,2019-07-01 13:30:00,1773800
1063,34.74,35.19,34.45,35.09,ok,2019-07-02 13:30:00,1627800
1064,35.6,35.62,34.78,34.86,ok,2019-07-03 13:30:00,626500
1065,36.74,36.74,35.31,35.42,ok,2019-07-05 13:30:00,1941500
1066,36.91,37.08,36.35,36.59,ok,2019-07-08 13:30:00,2600900
1067,36.01,37.13,35.99,36.78,ok,2019-07-09 13:30:00,2589100
1068,35.9,36.22,34.99,36.19,ok,2019-07-10 13:30:00,1983300
1069,36.0,36.26,35.72,35.9,ok,2019-07-11 13:30:00,1469700
1070,37.21,37.46,36.07,36.07,ok,2019-07-12 13:30:00,1746900
1071,37.74,37.77,37.02,37.21,ok,2019-07-15 13:30:00,1488200
1072,37.75,38.08,37.4,37.71,ok,2019-07-16 13:30:00,1823400
1073,37.92,38.0,37.35,37.92,ok,2019-07-17 13:30:00,1169800
1074,37.58,37.79,37.23,37.69,ok,2019-07-18 13:30:00,1395400
1075,37.13,37.71,37.09,37.64,ok,2019-07-19 13:30:00,1265300
1076,37.47,37.72,37.15,37.29,ok,2019-07-22 13:30:00,1392800
1077,38.55,38.58,37.27,37.57,ok,2019-07-23 13:30:00,1499900
1078,38.07,39.24,37.88,38.49,ok,2019-07-24 13:30:00,2756500
1079,37.12,38.27,37.07,37.98,ok,2019-07-25 13:30:00,1622000
1080,37.49,37.63,36.59,37.29,ok,2019-07-26 13:30:00,1163400
1081,37.38,38.0,37.07,37.4,ok,2019-07-29 13:30:00,1011100
1082,37.3,37.38,36.45,36.94,ok,2019-07-30 13:30:00,887200
1083,37.17,37.68,36.63,37.42,ok,2019-07-31 13:30:00,1271200
1084,34.86,37.3,34.42,37.3,ok,2019-08-01 13:30:00,2917700
1085,33.79,35.14,33.4,34.76,ok,2019-08-02 13:30:00,2520300
1086,33.53,33.73,31.89,33.15,ok,2019-08-05 13:30:00,2980600
1087,33.67,34.0,32.99,33.78,ok,2019-08-06 13:30:00,1582600
1088,32.37,33.41,32.1,33.16,ok,2019-08-07 13:30:00,2794100
1089,33.84,33.97,32.56,32.58,ok,2019-08-08 13:30:00,2213400
1090,32.57,33.92,32.38,33.75,ok,2019-08-09 13:30:00,2334000
1091,33.27,33.32,32.17,32.19,ok,2019-08-12 13:30:00,1935500
1092,33.15,34.94,32.73,33.0,ok,2019-08-13 13:30:00,2071700
1093,32.46,32.93,31.54,32.47,ok,2019-08-14 13:30:00,1750700
1094,31.48,32.76,31.27,32.58,ok,2019-08-15 13:30:00,1923700
1095,32.17,32.27,31.52,31.63,ok,2019-08-16 13:30:00,1320900
1096,32.99,33.41,31.27,32.76,ok,2019-08-19 13:30:00,1603500
1097,32.37,33.04,32.18,32.65,ok,2019-08-20 13:30:00,2527200
1098,32.97,33.37,32.37,32.76,ok,2019-08-21 13:30:00,4824100
1099,34.15,36.62,33.83,35.97,ok,2019-08-22 13:30:00,13121600
1100,32.37,33.89,32.34,33.74,ok,2019-08-23 13:30:00,4682300
1101,34.02,34.1,31.81,32.62,ok,2019-08-26 13:30:00,5022600
1102,33.85,34.44,33.59,34.16,ok,2019-08-27 13:30:00,3449900
1103,34.25,34.58,33.5,33.71,ok,2019-08-28 13:30:00,2332200
1104,34.66,34.88,34.07,34.58,ok,2019-08-29 13:30:00,2064500
1105,34.04,34.91,33.97,34.74,ok,2019-08-30 13:30:00,2641800
1106,33.89,34.28,33.43,33.73,ok,2019-09-03 13:30:00,2283200
1107,34.92,35.05,33.97,34.28,ok,2019-09-04 13:30:00,2449200
1108,35.94,36.2,35.24,35.36,ok,2019-09-05 13:30:00,2456900
1109,35.48,36.43,35.33,36.04,ok,2019-09-06 13:30:00,1539100
1110,37.49,37.58,35.26,35.46,ok,2019-09-09 13:30:00,2794300
1111,38.09,38.3,37.39,37.43,ok,2019-09-10 13:30:00,3113800
1112,38.92,38.96,37.12,38.21,ok,2019-09-11 13:30:00,2000000
1113,38.61,39.0,37.65,38.67,ok,2019-09-12 13:30:00,1792500
1114,39.0,39.63,38.51,39.01,ok,2019-09-13 13:30:00,1700200
1115,38.55,39.07,38.17,38.25,ok,2019-09-16 13:30:00,1394200
1116,38.49,38.57,37.54,38.39,ok,2019-09-17 13:30:00,2506100
1117,37.55,38.9,37.31,38.9,ok,2019-09-18 13:30:00,2035400
1118,37.54,38.11,37.21,37.67,ok,2019-09-19 13:30:00,1611200
1119,37.81,38.42,37.37,37.71,ok,2019-09-20 13:30:00,2196500
1120,38.66,38.88,37.7,37.7,ok,2019-09-23 13:30:00,2054700
1121,38.6,38.97,38.2,38.87,ok,2019-09-24 13:30:00,1694800
1122,39.48,39.57,38.61,38.79,ok,2019-09-25 13:30:00,2107200
1123,39.79,39.83,39.13,39.47,ok,2019-09-26 13:30:00,1766900
1124,40.28,41.09,39.88,40.07,ok,2019-09-27 13:30:00,3147300
1125,40.81,41.01,40.04,40.4,ok,2019-09-30 13:30:00,1429000
1126,40.47,41.53,40.27,41.15,ok,2019-10-01 13:30:00,1321300
1127,39.36,40.38,39.33,40.22,ok,2019-10-02 13:30:00,1757200
1128,38.9,39.45,37.85,39.12,ok,2019-10-03 13:30:00,2166100
1129,38.77,39.23,38.35,38.96,ok,2019-10-04 13:30:00,1322400
1130,37.94,39.11,37.9,38.71,ok,2019-10-07 13:30:00,1894000
1131,38.39,38.86,37.2,37.41,ok,2019-10-08 13:30:00,1791000
1132,38.9,39.12,38.2,38.72,ok,2019-10-09 13:30:00,1401300
1133,39.2,39.86,39.02,39.02,ok,2019-10-10 13:30:00,1782200
1134,39.41,39.86,39.18,39.59,ok,2019-10-11 13:30:00,1619700
1135,38.19,39.48,37.97,39.4,ok,2019-10-14 13:30:00,1558900
1136,38.93,39.16,38.08,38.5,ok,2019-10-15 13:30:00,1473400
1137,38.78,39.17,38.47,38.79,ok,2019-10-16 13:30:00,1069500
1138,39.17,39.37,38.95,38.95,ok,2019-10-17 13:30:00,1526100
1139,39.8,39.94,38.57,38.57,ok,2019-10-18 13:30:00,1887900
1140,40.21,40.89,40.04,40.38,ok,2019-10-21 13:30:00,1860900
1141,40.43,40.69,39.63,40.37,ok,2019-10-22 13:30:00,1345500
1142,40.09,40.58,40.01,40.42,ok,2019-10-23 13:30:00,1188900
1143,39.92,40.6,39.6,40.42,ok,2019-10-24 13:30:00,1502700
1144,40.36,40.84,40.06,40.52,ok,2019-10-25 13:30:00,1524500
1145,39.2,41.25,39.13,40.67,ok,2019-10-28 13:30:00,2552400
1146,39.64,40.17,38.67,39.05,ok,2019-10-29 13:30:00,1677500
1147,39.41,39.79,39.13,39.65,ok,2019-10-30 13:30:00,1538000
1148,38.93,39.6,38.28,39.56,ok,2019-10-31 13:30:00,1620000
1149,38.65,39.33,38.23,39.14,ok,2019-11-01 13:30:00,1778700
1150,39.42,39.45,38.7,38.74,ok,2019-11-04 14:30:00,1090000
1151,40.35,40.76,39.59,39.59,ok,2019-11-05 14:30:00,2007200
1152,40.94,41.05,39.85,40.19,ok,2019-11-06 14:30:00,2071300
1153,41.39,41.59,41.07,41.25,ok,2019-11-07 14:30:00,2157000
1154,41.13,41.39,40.75,41.18,ok,2019-11-08 14:30:00,2077900
1155,40.88,41.27,40.37,40.87,ok,2019-11-11 14:30:00,1190100
1156,40.24,40.8,39.99,40.8,ok,2019-11-12 14:30:00,1203400
1157,40.18,40.81,40.04,40.26,ok,2019-11-13 14:30:00,1414700
1158,40.33,40.62,40.15,40.25,ok,2019-11-14 14:30:00,1114800
